date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:22:04	146917/146917	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:52:02%20GMT	http://ecaidev.stagingrelease.com/ecai/signin	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/signin.html	(from http://ecaidev.stagingrelease.com/ecai)
12:22:05	396/396	---MC-	302	error ('Found')	text/html	date:Tue,%2022%20Oct%202019%2006:52:03%20GMT	http://ecaidev.stagingrelease.com/	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/index.html	(from http://ecaidev.stagingrelease.com/ecai)
12:22:07	22278/22278	---M--	200	added ('OK')	image/png	etag:%225d43c369-5706%22	http://ecaidev.stagingrelease.com/storage/img/logo/1564722025weblogo.png	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/storage/img/logo/1564722025weblogo.png	(from http://ecaidev.stagingrelease.com/ecai)
12:22:08	147999/147999	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:52:06%20GMT	http://ecaidev.stagingrelease.com/ecai/members	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/members.html	(from http://ecaidev.stagingrelease.com/ecai)
12:22:08	126921/126921	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:52:06%20GMT	http://ecaidev.stagingrelease.com/ecai/groups	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/groups.html	(from http://ecaidev.stagingrelease.com/ecai)
12:22:10	134434/134434	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:52:08%20GMT	http://ecaidev.stagingrelease.com/ecai/discounts	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/discounts.html	(from http://ecaidev.stagingrelease.com/ecai)
12:22:13	123556/123556	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:52:10%20GMT	http://ecaidev.stagingrelease.com/ecai/videos	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/videos.html	(from http://ecaidev.stagingrelease.com/ecai)
12:22:14	122928/122928	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:52:11%20GMT	http://ecaidev.stagingrelease.com/ecai/insightseries	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/insightseries.html	(from http://ecaidev.stagingrelease.com/ecai)
12:22:16	117372/117372	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:52:14%20GMT	http://ecaidev.stagingrelease.com/ecai/trainingvideos	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/trainingvideos.html	(from http://ecaidev.stagingrelease.com/ecai)
12:22:18	116944/116944	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:52:15%20GMT	http://ecaidev.stagingrelease.com/ecai/gallery	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/gallery.html	(from http://ecaidev.stagingrelease.com/ecai)
12:22:23	158640/158640	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:52:18%20GMT	http://ecaidev.stagingrelease.com/ecai/news	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/news.html	(from http://ecaidev.stagingrelease.com/ecai)
12:22:23	124632/124632	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:52:20%20GMT	http://ecaidev.stagingrelease.com/ecai/blogs	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/blogs.html	(from http://ecaidev.stagingrelease.com/ecai)
12:22:24	120520/120520	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:52:22%20GMT	http://ecaidev.stagingrelease.com/ecai/reports	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/reports.html	(from http://ecaidev.stagingrelease.com/ecai)
12:22:27	116351/116351	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:52:25%20GMT	http://ecaidev.stagingrelease.com/ecai/pillarinfo	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/pillarinfo.html	(from http://ecaidev.stagingrelease.com/ecai)
12:22:28	132867/132867	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:52:26%20GMT	http://ecaidev.stagingrelease.com/ecai/experience	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/experience.html	(from http://ecaidev.stagingrelease.com/ecai)
12:22:30	128265/128265	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:52:28%20GMT	http://ecaidev.stagingrelease.com/ecai/innovation	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/innovation.html	(from http://ecaidev.stagingrelease.com/ecai)
12:22:32	127343/127343	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:52:29%20GMT	http://ecaidev.stagingrelease.com/ecai/policy	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/policy.html	(from http://ecaidev.stagingrelease.com/ecai)
12:22:34	127634/127634	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:52:32%20GMT	http://ecaidev.stagingrelease.com/ecai/payments	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/payments.html	(from http://ecaidev.stagingrelease.com/ecai)
12:22:36	127693/127693	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:52:34%20GMT	http://ecaidev.stagingrelease.com/ecai/logistics	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/logistics.html	(from http://ecaidev.stagingrelease.com/ecai)
12:22:38	128188/128188	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:52:36%20GMT	http://ecaidev.stagingrelease.com/ecai/marketing	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/marketing.html	(from http://ecaidev.stagingrelease.com/ecai)
12:22:40	120874/120874	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:52:38%20GMT	http://ecaidev.stagingrelease.com/ecai/pillarapply	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/pillarapply.html	(from http://ecaidev.stagingrelease.com/ecai)
12:22:42	115965/115965	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:52:40%20GMT	http://ecaidev.stagingrelease.com/ecai/aboutecai	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/aboutecai.html	(from http://ecaidev.stagingrelease.com/ecai)
